Winner,Loser,Score,Rounds,Runtime
Assasin,HorizontalSym,10,66,15
DiagonalSym,Random,2,73,14
VerticalSym,DiagonalSym,0,73,47
Straight,Corner,7,62,14
Corner,Mob,0,55,9
DiagonalSym,Assasin,1,77,32
Assasin,Headshot,13,56,51
Straight,VerticalSym,23,47,13
Mob,HorizontalSym,18,40,57
Headshot,VerticalSym,34,53,16
RMCQueenAI,Assasin,50,23,27401
DiagonalSym,HorizontalSym,12,49,10
Assasin,HorizontalSym,40,27,10
Random,HorizontalSym,4,69,62
Straight,UpClose,0,52,44
RMCQueenAI,Mob,20,34,28464
HorizontalSym,Mob,20,27,8
Mob,DiagonalSym,2,71,12
Assasin,Headshot,13,56,18
VerticalSym,Corner,6,62,48
RMCQueenAI,Corner,11,35,27424
AlternateCorner,DiagonalSym,12,66,15
VerticalSym,AlternateCorner,2,77,14
Straight,Corner,2,75,53
Headshot,UpClose,14,48,18
Headshot,Random,39,41,50
RMCQueenAI,UpClose,12,41,26945
Corner,HorizontalSym,7,76,19
UpClose,Mob,25,37,7
Straight,DiagonalSym,1,85,17
Headshot,AlternateCorner,16,57,16
UpClose,Mob,14,57,9
Headshot,Corner,32,38,50
VerticalSym,Corner,13,57,60
Headshot,Straight,40,41,65
Mob,Corner,10,43,10
HorizontalSym,Corner,6,61,12
UpClose,Mob,16,34,22
RMCQueenAI,VerticalSym,17,47,22021
RMCQueenAI,VerticalSym,17,47,22084
Straight,VerticalSym,5,71,65
Mob,Random,4,75,47
Headshot,UpClose,0,87,62
Corner,Mob,12,56,12
RMCQueenAI,Corner,28,28,31411
VerticalSym,Mob,11,55,12
Headshot,Mob,13,64,16
UpClose,Random,2,57,19
AlternateCorner,VerticalSym,13,59,47
Assasin,Headshot,10,65,57
Headshot,Random,40,36,58
Headshot,UpClose,0,87,29
Headshot,Random,40,37,71
Assasin,Corner,15,32,9
Corner,HorizontalSym,23,37,43
Assasin,Straight,28,35,59
HorizontalSym,Random,3,67,13
Straight,Random,3,70,47
UpClose,VerticalSym,23,46,8
Headshot,Mob,31,36,23
AlternateCorner,Mob,18,53,57
RMCQueenAI,Corner,39,28,38365
RMCQueenAI,Straight,37,37,27529
RMCQueenAI,Straight,51,25,43123
Mob,Straight,9,61,91
Straight,DiagonalSym,3,69,14
AlternateCorner,VerticalSym,6,58,10
Assasin,Mob,29,40,43
RMCQueenAI,Random,26,31,35587
Assasin,UpClose,47,26,59
Headshot,Corner,31,33,63
Assasin,HorizontalSym,14,71,61
HorizontalSym,Straight,4,66,47
Assasin,AlternateCorner,23,48,16
RMCQueenAI,Mob,31,28,30680
Straight,Mob,18,44,10
HorizontalSym,AlternateCorner,1,84,16
HorizontalSym,Straight,17,59,13
AlternateCorner,Corner,0,76,80
RMCQueenAI,Assasin,50,23,27412
Random,VerticalSym,0,74,47
UpClose,Straight,15,62,10
UpClose,Corner,8,69,12
RMCQueenAI,UpClose,12,41,26941
RMCQueenAI,Assasin,19,36,27015
Assasin,AlternateCorner,16,57,19
Assasin,Random,26,54,56
Assasin,UpClose,47,26,8
AlternateCorner,VerticalSym,7,64,46
UpClose,Straight,12,66,52
RMCQueenAI,DiagonalSym,15,62,18421
UpClose,HorizontalSym,5,84,59
Assasin,HorizontalSym,29,44,11
Assasin,VerticalSym,22,52,54
Corner,Mob,10,43,9
RMCQueenAI,UpClose,12,41,26736
Assasin,UpClose,47,26,7
Assasin,VerticalSym,25,52,66
RMCQueenAI,HorizontalSym,11,29,27471
Random,Corner,10,58,12
Random,VerticalSym,9,73,19
Mob,DiagonalSym,1,70,12
Assasin,VerticalSym,30,50,73
HorizontalSym,DiagonalSym,0,71,45
RMCQueenAI,Random,29,35,29618
Random,VerticalSym,10,52,13
RMCQueenAI,Straight,35,28,32986
AlternateCorner,UpClose,12,67,11
Headshot,VerticalSym,25,42,52
DiagonalSym,Random,1,69,55
Headshot,Assasin,3,76,61
AlternateCorner,Random,3,81,16
Assasin,Mob,16,57,59
Assasin,Random,23,57,19
AlternateCorner,HorizontalSym,5,74,46
AlternateCorner,Random,0,80,16
Corner,DiagonalSym,30,43,11
VerticalSym,Corner,1,61,25
RMCQueenAI,Headshot,27,37,37612
UpClose,Corner,25,46,42
DiagonalSym,VerticalSym,3,67,12
AlternateCorner,Straight,12,62,13
Headshot,UpClose,14,48,53
RMCQueenAI,HorizontalSym,5,62,23700
Headshot,VerticalSym,10,66,78
AlternateCorner,HorizontalSym,13,62,57
Headshot,Straight,24,64,125
Headshot,Random,25,54,115
RMCQueenAI,DiagonalSym,13,40,21884
Headshot,Random,35,36,59
VerticalSym,Corner,2,78,14
Assasin,Mob,56,19,9
Assasin,Straight,58,30,74
Random,VerticalSym,5,74,17
Straight,Corner,8,56,23
RMCQueenAI,Straight,38,27,32857
RMCQueenAI,UpClose,24,44,25945
Assasin,UpClose,18,53,20
Assasin,Mob,41,31,9
VerticalSym,DiagonalSym,1,71,57
Headshot,Mob,19,47,15
Corner,Random,1,61,12
UpClose,VerticalSym,9,58,8
Assasin,AlternateCorner,14,64,50
Straight,AlternateCorner,6,72,14
RMCQueenAI,Mob,22,27,29807
DiagonalSym,UpClose,0,78,10
RMCQueenAI,HorizontalSym,11,29,27344
RMCQueenAI,Assasin,17,43,28091
RMCQueenAI,Mob,50,21,33469
UpClose,Random,14,55,62
VerticalSym,HorizontalSym,1,62,43
Assasin,Straight,36,42,57
Assasin,VerticalSym,24,50,64
RMCQueenAI,Straight,17,32,39325
Headshot,Assasin,11,68,67
Headshot,HorizontalSym,19,57,71
UpClose,Corner,36,44,42
Headshot,DiagonalSym,51,39,77
DiagonalSym,Straight,1,71,50
UpClose,AlternateCorner,10,63,44
AlternateCorner,Corner,7,76,55
Corner,HorizontalSym,4,79,51
DiagonalSym,UpClose,0,78,10
Random,Straight,4,70,25
HorizontalSym,VerticalSym,2,78,15
Headshot,Random,40,48,88
HorizontalSym,Mob,8,50,41
AlternateCorner,Mob,11,67,23
UpClose,HorizontalSym,18,55,42
UpClose,Corner,38,38,9
UpClose,VerticalSym,4,76,23
Straight,Corner,6,72,55
Random,DiagonalSym,0,71,13
