Winner,Loser,Score,Rounds,Runtime
VerticalSym,Mob,2,53,9
Assasin,VerticalSym,13,63,49
Mob,HorizontalSym,0,47,44
Assasin,HorizontalSym,29,50,16
Headshot,Corner,37,32,59
VerticalSym,Straight,1,70,48
DiagonalSym,AlternateCorner,2,73,13
UpClose,Corner,13,55,10
VerticalSym,HorizontalSym,0,72,51
UpClose,Corner,8,69,56
Headshot,Random,24,55,59
Straight,Random,5,73,25
RMCQueenAI,HorizontalSym,11,29,23627
Headshot,AlternateCorner,16,57,17
Headshot,Mob,58,29,62
DiagonalSym,Corner,3,59,12
HorizontalSym,Random,3,71,13
RMCQueenAI,DiagonalSym,18,51,23132
RMCQueenAI,Headshot,10,28,31461
Random,Straight,1,72,16
RMCQueenAI,Random,39,24,33536
Headshot,HorizontalSym,19,57,72
UpClose,HorizontalSym,14,54,67
VerticalSym,HorizontalSym,0,78,58
Headshot,DiagonalSym,51,39,74
Straight,Mob,2,69,15
DiagonalSym,UpClose,0,78,9
VerticalSym,Random,2,78,12
HorizontalSym,Straight,4,68,59
RMCQueenAI,Random,11,40,27129
Assasin,AlternateCorner,19,64,17
Corner,Mob,5,69,16
VerticalSym,Mob,8,66,42
UpClose,Straight,5,66,43
AlternateCorner,DiagonalSym,9,69,13
Random,UpClose,2,74,47
UpClose,Mob,26,40,6
Assasin,Headshot,13,56,17
Headshot,VerticalSym,34,53,50
RMCQueenAI,VerticalSym,17,47,22104
Mob,DiagonalSym,3,48,9
Headshot,VerticalSym,15,62,120
Headshot,AlternateCorner,16,57,55
Assasin,DiagonalSym,30,56,51
Assasin,Straight,21,57,48
Headshot,Corner,27,43,29
Assasin,Corner,37,31,14
Headshot,Mob,41,24,20
Headshot,Mob,42,31,64
DiagonalSym,HorizontalSym,10,63,9
Assasin,UpClose,16,41,10
Headshot,Corner,32,38,62
VerticalSym,UpClose,3,72,11
Straight,VerticalSym,4,69,14
AlternateCorner,VerticalSym,13,59,14
UpClose,HorizontalSym,6,72,11
Headshot,Corner,37,32,61
Straight,Corner,9,61,44
Assasin,Corner,23,38,15
AlternateCorner,Corner,7,65,17
RMCQueenAI,Mob,10,25,28970
RMCQueenAI,Random,26,34,26491
Straight,Corner,4,71,48
HorizontalSym,Straight,34,35,45
Headshot,UpClose,0,87,18
VerticalSym,Random,7,68,57
DiagonalSym,Random,6,65,12
UpClose,DiagonalSym,21,66,10
AlternateCorner,Random,10,59,12
Mob,DiagonalSym,3,44,9
RMCQueenAI,AlternateCorner,14,49,19402
Assasin,Mob,45,31,13
Random,Corner,8,58,12
RMCQueenAI,Mob,62,22,21856
Headshot,UpClose,14,48,18
AlternateCorner,Straight,12,66,51
VerticalSym,Mob,1,52,11
VerticalSym,UpClose,3,72,11
VerticalSym,Corner,7,51,12
AlternateCorner,DiagonalSym,1,74,13
HorizontalSym,DiagonalSym,2,73,13
Random,Corner,4,67,13
VerticalSym,UpClose,2,59,8
AlternateCorner,VerticalSym,13,59,13
Straight,Corner,20,45,47
RMCQueenAI,UpClose,24,44,25667
Random,AlternateCorner,4,69,50
Mob,Random,7,61,70
DiagonalSym,Straight,6,67,48
UpClose,Mob,21,45,8
Assasin,Mob,63,27,55
RMCQueenAI,Headshot,27,37,37767
RMCQueenAI,Headshot,10,28,31374
RMCQueenAI,AlternateCorner,18,52,19498
RMCQueenAI,DiagonalSym,18,51,22972
AlternateCorner,Corner,11,65,17
UpClose,HorizontalSym,18,55,43
HorizontalSym,Corner,19,54,11
RMCQueenAI,VerticalSym,17,47,22184
Straight,Mob,16,37,42
AlternateCorner,VerticalSym,13,59,25
Headshot,AlternateCorner,21,52,47
Headshot,Random,37,37,55
Assasin,Random,24,47,14
Random,Mob,10,57,10
RMCQueenAI,Straight,5,30,32482
HorizontalSym,Random,21,60,62
RMCQueenAI,HorizontalSym,11,29,27091
UpClose,Random,6,70,11
VerticalSym,Straight,1,75,114
Random,Corner,5,66,15
RMCQueenAI,HorizontalSym,10,42,19131
HorizontalSym,DiagonalSym,3,67,12
RMCQueenAI,DiagonalSym,18,51,23212
RMCQueenAI,AlternateCorner,18,52,19187
AlternateCorner,UpClose,12,67,10
HorizontalSym,Straight,1,61,12
Assasin,Straight,25,36,19
AlternateCorner,Corner,11,71,51
HorizontalSym,Mob,2,48,81
Assasin,Straight,16,48,71
Headshot,AlternateCorner,21,52,25
VerticalSym,HorizontalSym,11,64,13
Headshot,HorizontalSym,14,68,119
DiagonalSym,Random,0,72,15
Assasin,Straight,37,48,78
Assasin,Random,12,52,60
RMCQueenAI,HorizontalSym,13,48,22305
RMCQueenAI,AlternateCorner,18,52,19529
HorizontalSym,Corner,8,67,14
Assasin,Random,36,36,12
Headshot,Random,45,49,94
Assasin,Corner,34,35,13
Headshot,Mob,46,39,77
RMCQueenAI,UpClose,24,44,26813
Headshot,DiagonalSym,51,39,77
Headshot,AlternateCorner,21,52,16
RMCQueenAI,Straight,46,25,33867
DiagonalSym,Mob,1,63,10
RMCQueenAI,UpClose,12,41,26683
Random,Straight,5,67,13
AlternateCorner,Corner,15,67,17
Headshot,Mob,20,32,13
VerticalSym,Mob,6,54,12
UpClose,Mob,17,43,8
Headshot,HorizontalSym,16,56,96
Invader_10,Random,14,65,18005
Random,Invader_10,2,71,11168
Headshot,Invader_10,22,60,6407
Headshot,Invader_10,4,61,20792
Assasin,Invader_10,13,56,15983
Assasin,Invader_10,37,47,11164
Invader_10,Straight,9,67,13121
Invader_10,Straight,5,60,37236
Invader_10,UpClose,2,77,25591
Invader_10,UpClose,3,58,20793
Invader_10,Mob,7,55,14
Invader_10,Mob,25,46,15998
Invader_10,VerticalSym,9,63,25594
Invader_10,VerticalSym,0,62,32460
HorizontalSym,Invader_10,3,70,20795
Invader_10,HorizontalSym,4,70,20794
DiagonalSym,Invader_10,1,58,6336
Invader_10,DiagonalSym,11,52,6373
Invader_10,Corner,17,61,15993
Invader_10,Corner,9,70,37233
Invader_10,AlternateCorner,5,69,15985
AlternateCorner,Invader_10,9,69,11178
RMCQueenAI,Invader_10,4,68,59905
RMCQueenAI,Invader_10,21,49,23614
Invader_50,Random,17,53,68956
Invader_50,Random,16,52,75761
Invader_50,Headshot,10,65,80573
Invader_50,Headshot,13,64,88277
Invader_50,Assasin,17,53,61291
Invader_50,Assasin,5,60,73781
Invader_50,Straight,21,47,68916
Invader_50,Straight,17,54,59342
Invader_50,UpClose,2,75,114264
Invader_50,UpClose,30,58,70954
Invader_50,Mob,17,47,66109
Invader_50,Mob,42,32,49691
Invader_50,VerticalSym,28,51,80578
Invader_50,VerticalSym,5,70,88241
Invader_50,HorizontalSym,30,43,44921
Invader_50,HorizontalSym,28,52,78603
Invader_50,DiagonalSym,25,49,46846
Invader_50,DiagonalSym,22,46,73765
Invader_50,Corner,37,35,56471
Invader_50,Corner,25,40,54531
Invader_50,AlternateCorner,24,53,73785
Invader_50,AlternateCorner,11,72,106619
RMCQueenAI,Invader_50,8,50,55986
RMCQueenAI,Invader_50,15,59,101275
Invader,Random,32,37,93045
Invader,Random,53,34,83396
Invader,Headshot,70,21,54524
Invader,Headshot,46,26,64157
Invader,Assasin,57,27,75790
Invader,Assasin,34,34,83390
Invader,Straight,50,29,87391
Invader,Straight,49,22,61320
Invader,UpClose,44,27,68959
Invader,UpClose,20,44,107492
Invader,Mob,44,31,85364
Invader,Mob,38,26,77854
Invader,VerticalSym,38,27,68946
Invader,VerticalSym,17,50,121940
Invader,HorizontalSym,32,35,88220
Invader,HorizontalSym,41,42,109471
Invader,DiagonalSym,46,33,90202
Invader,DiagonalSym,20,34,83388
Invader,Corner,50,29,73777
Invader,Corner,43,26,70951
Invader,AlternateCorner,28,53,131575
Invader,AlternateCorner,37,42,102676
Invader,RMCQueenAI,13,67,180524
Invader,RMCQueenAI,9,82,221324
Invader_10,Random,5,63,27620
Random,Invader_10,0,71,15973
Headshot,Invader_10,9,70,20765
Headshot,Invader_10,3,71,35249
Invader_10,Assasin,1,79,30406
Assasin,Invader_10,9,55,20806
Invader_10,Straight,0,73,15980
Straight,Invader_10,9,57,15976
UpClose,Invader_10,4,66,25629
Invader_10,UpClose,6,66,15979
Mob,Invader_10,3,50,27554
Invader_10,Mob,11,54,20769
Invader_10,VerticalSym,5,59,11145
Invader_10,VerticalSym,1,74,30396
Invader_10,HorizontalSym,3,57,15
Invader_10,HorizontalSym,6,68,11177
DiagonalSym,Invader_10,0,80,35216
Invader_10,DiagonalSym,3,70,11188
Invader_10,Corner,17,53,15979
Corner,Invader_10,4,59,11166
AlternateCorner,Invader_10,0,80,16001
Invader_10,AlternateCorner,1,76,20789
RMCQueenAI,Invader_10,32,28,15026
RMCQueenAI,Invader_10,9,47,31212
Invader_50,Random,18,57,59307
Invader_50,Random,21,40,54486
Invader_50,Headshot,19,53,68956
Invader_50,Headshot,28,46,59363
Invader_50,Assasin,35,33,40072
Invader_50,Assasin,33,50,73778
Invader_50,Straight,32,45,61312
Invader_50,Straight,42,42,69011
Invader_50,UpClose,16,47,75750
Invader_50,UpClose,28,46,94246
Invader_50,Mob,34,39,40060
Invader_50,Mob,18,44,54520
Invader_50,VerticalSym,28,57,78609
Invader_50,VerticalSym,31,46,49693
Invader_50,HorizontalSym,39,39,40076
Invader_50,HorizontalSym,18,54,64181
Invader_50,DiagonalSym,31,39,61296
Invader_50,DiagonalSym,6,68,64124
Invader_50,Corner,27,41,70994
Invader_50,Corner,28,38,51706
Invader_50,AlternateCorner,8,67,96962
Invader_50,AlternateCorner,18,62,90189
RMCQueenAI,Invader_50,9,66,93965
RMCQueenAI,Invader_50,13,37,54505
Invader,Random,16,33,83401
Invader,Random,29,46,112291
Invader,Headshot,70,21,54507
Invader,Headshot,46,26,64140
Invader,Assasin,39,37,93030
Invader,Assasin,31,28,68939
Invader,Straight,55,23,59332
Invader,Straight,51,28,68973
Invader,UpClose,44,27,68960
Invader,UpClose,20,44,107480
Invader,Mob,39,25,64140
Invader,Mob,17,24,59302
Invader,VerticalSym,38,27,68957
Invader,VerticalSym,36,32,78571
Invader,HorizontalSym,32,35,88223
Invader,HorizontalSym,29,36,95027
Invader,DiagonalSym,46,33,103841
Invader,DiagonalSym,21,48,123948
Invader,Corner,55,27,68954
Invader,Corner,49,26,64143
Invader,AlternateCorner,28,53,138379
Invader,AlternateCorner,37,42,116256
Invader,RMCQueenAI,13,67,180641
Invader,RMCQueenAI,9,82,207692
Random,Invader_10,0,60,15972
Random,Invader_10,9,63,15992
Headshot,Invader_10,5,60,15972
Headshot,Invader_10,30,59,6412
Assasin,Invader_10,42,48,11155
Assasin,Invader_10,20,39,11149
Invader_10,Straight,6,69,17928
Invader_10,Straight,23,60,15963
UpClose,Invader_10,23,58,22782
UpClose,Invader_10,12,71,11168
Invader_10,Mob,33,55,15959
Invader_10,Mob,3,72,20795
VerticalSym,Invader_10,1,68,20786
Invader_10,VerticalSym,0,78,25611
Invader_10,HorizontalSym,5,63,11156
Invader_10,HorizontalSym,9,56,6344
DiagonalSym,Invader_10,2,62,17954
Invader_10,DiagonalSym,17,62,25606
Invader_10,Corner,5,67,11151
Corner,Invader_10,14,49,11126
Invader_10,AlternateCorner,1,75,20778
AlternateCorner,Invader_10,4,67,15967
RMCQueenAI,Invader_10,27,26,31577
RMCQueenAI,Invader_10,58,27,26846
Invader_50,Random,8,69,68926
Invader_50,Random,33,26,49688
Invader_50,Headshot,24,61,78566
Invader_50,Headshot,18,46,54518
Invader_50,Assasin,11,51,49665
Invader_50,Assasin,7,68,66105
Invader_50,Straight,50,49,75758
Invader_50,Straight,14,50,44893
Invader_50,UpClose,14,71,83410
Invader_50,UpClose,12,64,83404
Invader_50,Mob,34,35,49683
Invader_50,Mob,27,38,54497
Invader_50,VerticalSym,11,57,110609
Invader_50,VerticalSym,22,44,49707
Invader_50,HorizontalSym,28,59,93030
Invader_50,HorizontalSym,26,42,61317
Invader_50,DiagonalSym,11,67,102648
Invader_50,DiagonalSym,19,44,54477
Invader_50,Corner,30,43,54503
Invader_50,Corner,30,30,49661
Invader_50,AlternateCorner,13,59,66094
Invader_50,AlternateCorner,3,74,68904
RMCQueenAI,Invader_50,12,64,89336
RMCQueenAI,Invader_50,12,49,52026
Invader,Random,61,25,64149
Invader,Random,51,22,54505
Invader,Headshot,70,21,54494
Invader,Headshot,46,26,64129
Invader,Assasin,57,27,68959
Invader,Assasin,23,44,107493
Invader,Straight,42,27,75728
Invader,Straight,42,34,83426
Invader,UpClose,44,27,82595
Invader,UpClose,20,44,107494
Invader,Mob,42,35,88206
Invader,Mob,37,30,73764
Invader,VerticalSym,38,27,68961
Invader,VerticalSym,56,38,99855
Invader,HorizontalSym,32,35,95055
Invader,HorizontalSym,25,36,95048
Invader,DiagonalSym,46,33,90177
Invader,DiagonalSym,19,40,97844
Invader,Corner,48,33,83398
Invader,Corner,46,24,66192
Invader,AlternateCorner,28,53,131578
Invader,AlternateCorner,37,42,102672
Invader,RMCQueenAI,13,67,180508
Invader,RMCQueenAI,9,82,207719
Invader_10,Random,10,67,15980
Invader_10,Random,6,64,11150
Headshot,Invader_10,20,54,15963
Headshot,Invader_10,6,63,15983
Assasin,Invader_10,15,56,15981
Assasin,Invader_10,36,45,16000
Invader_10,Straight,24,63,30450
Straight,Invader_10,1,75,25582
UpClose,Invader_10,11,52,6334
Invader_10,UpClose,3,72,37288
Invader_10,Mob,3,71,16
Invader_10,Mob,18,60,11150
Invader_10,VerticalSym,19,59,15975
VerticalSym,Invader_10,12,61,20772
Invader_10,HorizontalSym,11,65,16010
HorizontalSym,Invader_10,8,59,6327
DiagonalSym,Invader_10,1,68,25616
DiagonalSym,Invader_10,6,63,15958
Invader_10,Corner,7,65,11159
Invader_10,Corner,17,56,11167
AlternateCorner,Invader_10,2,78,25558
Invader_10,AlternateCorner,15,70,32432
RMCQueenAI,Invader_10,14,48,22987
RMCQueenAI,Invader_10,35,31,19561
Invader_50,Random,21,49,64123
Invader_50,Random,30,50,64127
Invader_50,Headshot,23,41,58493
Invader_50,Headshot,26,50,68961
Invader_50,Assasin,52,33,49688
Invader_50,Assasin,9,76,90206
Invader_50,Straight,30,41,54511
Invader_50,Straight,17,56,78613
Invader_50,UpClose,36,27,54502
Invader_50,UpClose,33,48,97015
Invader_50,Mob,39,27,44874
Invader_50,Mob,42,28,44871
Invader_50,VerticalSym,26,55,83383
Invader_50,VerticalSym,6,76,109441
Invader_50,HorizontalSym,10,55,59327
Invader_50,HorizontalSym,7,50,49668
Invader_50,DiagonalSym,17,53,54520
Invader_50,DiagonalSym,20,52,97008
Invader_50,Corner,57,27,44876
Invader_50,Corner,39,38,35244
Invader_50,AlternateCorner,16,57,73766
Invader_50,AlternateCorner,16,58,54504
RMCQueenAI,Invader_50,2,58,68476
RMCQueenAI,Invader_50,3,73,86483
Invader,Random,65,33,83415
Invader,Random,46,38,99877
Invader,Headshot,70,21,74935
Invader,Headshot,46,26,64148
Invader,Assasin,39,37,99841
Invader,Assasin,34,34,83382
Invader,Straight,78,17,44872
Invader,Straight,47,30,80578
Invader,UpClose,44,27,75771
Invader,UpClose,20,44,107496
Invader,Mob,36,21,54505
Invader,Mob,49,28,75794
Invader,VerticalSym,38,27,68978
Invader,VerticalSym,31,32,78593
Invader,HorizontalSym,32,35,101907
Invader,HorizontalSym,34,38,93041
Invader,DiagonalSym,46,33,83407
Invader,DiagonalSym,26,48,117111
Invader,Corner,48,33,83424
Invader,Corner,37,32,85393
Invader,AlternateCorner,28,53,131594
Invader,AlternateCorner,37,42,102678
Invader,RMCQueenAI,13,67,173813
Invader,RMCQueenAI,9,82,214456
Invader_10,Random,5,63,6341
Invader_10,Random,29,48,20786
Headshot,Invader_10,13,52,11179
Headshot,Invader_10,21,65,11169
Assasin,Invader_10,13,56,15979
Invader_10,Assasin,3,72,30408
Straight,Invader_10,0,82,20775
Invader_10,Straight,5,66,25611
Invader_10,UpClose,4,61,27624
Invader_10,UpClose,6,48,6333
Invader_10,Mob,15,61,11160
Invader_10,Mob,11,52,30404
Invader_10,VerticalSym,8,69,20790
VerticalSym,Invader_10,6,69,25598
HorizontalSym,Invader_10,2,78,40044
Invader_10,HorizontalSym,0,76,20794
Invader_10,DiagonalSym,15,57,15972
Invader_10,DiagonalSym,0,76,11150
Invader_10,Corner,6,71,15963
Invader_10,Corner,31,46,32458
Invader_10,AlternateCorner,2,69,20800
AlternateCorner,Invader_10,2,71,20759
RMCQueenAI,Invader_10,14,42,19582
RMCQueenAI,Invader_10,40,35,19388
Invader_50,Random,14,53,70987
Invader_50,Random,16,54,54494
Invader_50,Headshot,37,27,40074
Invader_50,Headshot,42,36,54510
Invader_50,Assasin,28,63,73779
Invader_50,Assasin,11,58,49692
Invader_50,Straight,30,37,51674
Invader_50,Straight,49,36,49696
Invader_50,UpClose,20,53,64142
Invader_50,UpClose,7,70,64132
Invader_50,Mob,35,43,59322
Invader_50,Mob,40,22,30410
Invader_50,VerticalSym,16,51,44896
Invader_50,VerticalSym,39,34,61349
Invader_50,HorizontalSym,22,55,64131
Invader_50,HorizontalSym,17,56,83409
Invader_50,DiagonalSym,25,53,106636
Invader_50,DiagonalSym,7,54,66088
Invader_50,Corner,23,49,80563
Invader_50,Corner,45,38,59316
Invader_50,AlternateCorner,13,67,59353
Invader_50,AlternateCorner,11,58,83395
RMCQueenAI,Invader_50,14,56,76735
RMCQueenAI,Invader_50,6,57,88588
Invader,Random,61,23,66153
Invader,Random,33,40,104709
Invader,Headshot,70,21,61327
Invader,Headshot,46,26,64160
Invader,Assasin,57,27,68959
Invader,Assasin,31,28,68956
Invader,Straight,45,27,75779
Invader,Straight,73,28,68952
Invader,UpClose,44,27,68954
Invader,UpClose,20,44,114292
Invader,Mob,68,21,54501
Invader,Mob,43,22,54494
Invader,VerticalSym,38,27,68975
Invader,VerticalSym,18,42,102647
Invader,HorizontalSym,32,35,88215
Invader,HorizontalSym,56,38,93062
Invader,DiagonalSym,46,33,83402
Invader,DiagonalSym,43,38,99839
Invader,Corner,38,29,73759
Invader,Corner,53,24,59320
Invader,AlternateCorner,28,53,138428
Invader,AlternateCorner,37,42,102667
Invader,RMCQueenAI,13,67,180591
Invader,RMCQueenAI,9,82,207718
